ID,ADM1_CODE,ADM1_NAME,XCOORD,YCOORD,ELEVATION,SLOPE,ASPECT
5111500,2716,Andalucia,-4.282056,37.430302,596,3.95711,95.59934
5111600,2716,Andalucia,-4.236855,37.430784,700,7.24293,102.26477
5111700,2716,Andalucia,-4.191653,37.431248,673,7.76717,38.57125
5111800,2716,Andalucia,-4.146449,37.431695,717,4.64327,254.57784
5111900,2716,Andalucia,-4.101245,37.432125,795,15.57973,316.56934
5112000,2716,Andalucia,-4.05604,37.432537,655,9.40115,24.05735
5112100,2716,Andalucia,-4.010834,37.432933,979,10.23241,332.86011
5112200,2716,Andalucia,-3.965627,37.433311,1060,4.00933,285.64224
5112300,2716,Andalucia,-3.920419,37.433671,863,1.66555,291.80139
5112400,2716,Andalucia,-3.875211,37.434015,832,3.5666,184.96974
5112500,2716,Andalucia,-3.830001,37.434341,887,3.13095,105.75117
5112600,2716,Andalucia,-3.784791,37.43465,960,4.24818,289.09351
5112700,2716,Andalucia,-3.739581,37.434941,885,7.83598,158.7204
5112800,2716,Andalucia,-3.69437,37.435216,889,5.94652,161.09543
5112900,2716,Andalucia,-3.649158,37.435472,899,8.51589,334.35901
5113000,2716,Andalucia,-3.603945,37.435712,1004,7.9395,115.82099
5113100,2716,Andalucia,-3.558732,37.435935,971,3.60642,46.73571
5113200,2716,Andalucia,-3.513519,37.43614,937,5.92168,128.65981
5113300,2716,Andalucia,-3.468305,37.436327,958,2.94052,273.01279
5113400,2716,Andalucia,-3.423091,37.436498,1071,3.97509,294.0755
5113500,2716,Andalucia,-3.377876,37.436651,1107,3.8736,265.42609
5113600,2716,Andalucia,-3.332661,37.436787,1081,5.71997,127.33319
5113700,2716,Andalucia,-3.287446,37.436906,1000,8.01839,161.56505
5113800,2716,Andalucia,-3.24223,37.437007,874,9.98207,175.60129
5113900,2716,Andalucia,-3.197015,37.437091,921,16.3042,99.02761
5114000,2716,Andalucia,-3.151799,37.437158,825,7.97539,205.08359
5114100,2716,Andalucia,-3.106583,37.437207,995,4.4595,23.45902
5114200,2716,Andalucia,-3.061367,37.437239,1045,3.79137,213.36636
5114300,2716,Andalucia,-3.016151,37.437254,1100,1.56569,302.90524
5114400,2716,Andalucia,-2.970935,37.437252,1136,2.19743,39.28941
5114500,2716,Andalucia,-2.925718,37.437232,1164,2.31903,0
5114600,2716,Andalucia,-2.880502,37.437195,1231,6.01846,2.93568
5114700,2716,Andalucia,-2.835286,37.43714,1275,2.25376,112.16634
5114800,2716,Andalucia,-2.790071,37.437069,1081,2.64366,37.87498
5114900,2716,Andalucia,-2.744855,37.43698,942,3.84742,10.40771
5115000,2716,Andalucia,-2.69964,37.436873,910,2.66837,259.992
5115100,2716,Andalucia,-2.654424,37.43675,945,0.24458,71.56505
5115200,2716,Andalucia,-2.60921,37.436609,1023,1.75294,221.42366
5115300,2716,Andalucia,-2.563995,37.436451,1097,7.97174,252.61302
5115400,2716,Andalucia,-2.518781,37.436276,1098,2.18926,312.13757
5115500,2716,Andalucia,-2.473567,37.436083,1166,12.17336,322.62814
5115600,2716,Andalucia,-2.428354,37.435873,1170,5.13519,147.26477
5115700,2716,Andalucia,-2.383141,37.435645,1124,5.53955,124.79603
5115800,2716,Andalucia,-2.337929,37.435401,1040,7.46102,345.67728
5115900,2716,Andalucia,-2.292717,37.435139,862,3.42875,22.52057
5116000,2716,Andalucia,-2.247506,37.43486,707,5.73748,149.30028
5116100,2716,Andalucia,-2.202296,37.434563,683,3.49751,120.52971
5116200,2716,Andalucia,-2.157086,37.43425,575,1.97109,221.82018
5116300,2716,Andalucia,-2.111877,37.433918,633,12.265,14.38139
5116400,2716,Andalucia,-2.066668,37.43357,630,10.66013,8.24632
5116500,2716,Andalucia,-2.021461,37.433205,459,6.21116,209.74487
5116600,2716,Andalucia,-1.976254,37.432822,423,7.3017,196.52579
5116700,2716,Andalucia,-1.931048,37.432421,361,1.3527,149.03624
5116800,2731,"Murcia, Region De",-1.885844,37.432004,332,1.09912,129.2894
5116900,2731,"Murcia, Region De",-1.84064,37.431569,303,0.43751,225
5117000,2731,"Murcia, Region De",-1.795437,37.431117,238,1.90953,211.75949
5117100,2731,"Murcia, Region De",-1.750235,37.430648,247,4.34627,123.40782
5117200,2731,"Murcia, Region De",-1.705034,37.430161,289,3.42875,202.52057
5117300,2731,"Murcia, Region De",-1.659834,37.429657,159,1.93747,151.38954
5117400,2731,"Murcia, Region De",-1.614636,37.429136,79,2.39997,194.93143
5117500,2731,"Murcia, Region De",-1.569438,37.428598,53,1.67271,123.69006
5117600,2731,"Murcia, Region De",-1.524242,37.428042,0,0,0
5117700,2731,"Murcia, Region De",-1.479047,37.427469,0,0,0
5133100,2716,Andalucia,-7.39409,37.319504,88,5.71997,37.33319
5133200,2716,Andalucia,-7.349075,37.32117,89,1.32141,20.55605
5133300,2716,Andalucia,-7.304057,37.322819,98,2.21367,192.09476
5133400,2716,Andalucia,-7.259036,37.324451,72,1.00833,94.3987
5133500,2716,Andalucia,-7.214011,37.326067,46,3.04801,210.46555
5133600,2716,Andalucia,-7.168982,37.327664,47,1.5771,258.69006
5133700,2716,Andalucia,-7.123949,37.329245,76,1.42164,202.38013
5133800,2716,Andalucia,-7.078913,37.330809,88,3.42875,194.34933
5133900,2716,Andalucia,-7.033874,37.332356,43,0.55771,146.30994
5134000,2716,Andalucia,-6.988831,37.333885,15,2.29834,47.72631
5134100,2716,Andalucia,-6.943785,37.335398,19,2.10017,276.34021
5134200,2716,Andalucia,-6.898736,37.336893,31,1.03755,116.56505
5134300,2716,Andalucia,-6.853683,37.338372,30,1.11532,236.30994
5134400,2716,Andalucia,-6.808627,37.339833,31,1.22272,124.69515
5134500,2716,Andalucia,-6.763568,37.341277,23,0.24458,71.56505
5134600,2716,Andalucia,-6.718505,37.342704,15,0.24458,341.56506
5134700,2716,Andalucia,-6.67344,37.344114,59,1.5542,354.2894
5134800,2716,Andalucia,-6.628371,37.345507,143,2.33953,187.59464
5134900,2716,Andalucia,-6.583299,37.346882,131,1.07714,248.96249
5135000,2716,Andalucia,-6.538224,37.348241,135,0.54688,81.8699
5135100,2716,Andalucia,-6.493146,37.349582,155,1.11532,33.69007
5135200,2716,Andalucia,-6.448065,37.350906,137,1.8588,106.92751
5135300,2716,Andalucia,-6.402982,37.352213,107,1.3919,180
5135400,2716,Andalucia,-6.357895,37.353503,120,3.8782,12.65256
5135500,2716,Andalucia,-6.312805,37.354776,95,1.51919,165.25644
5135600,2716,Andalucia,-6.267713,37.356032,49,2.84992,49.3987
5135700,2716,Andalucia,-6.222618,37.35727,60,8.30023,357.87891
5135800,2716,Andalucia,-6.17752,37.358491,120,0.99038,128.65981
5135900,2716,Andalucia,-6.13242,37.359696,108,1.67271,146.30994
5136000,2716,Andalucia,-6.087316,37.360883,69,1.56569,212.90524
5136100,2716,Andalucia,-6.04221,37.362052,49,3.59319,25.46335
5136200,2716,Andalucia,-5.997102,37.363205,10,0.15469,270
5136300,2716,Andalucia,-5.951991,37.36434,10,0.97823,108.43495
5136400,2716,Andalucia,-5.906878,37.365459,15,0.97823,198.43495
5136500,2716,Andalucia,-5.861762,37.36656,45,1.64025,351.8699
5136600,2716,Andalucia,-5.816643,37.367644,119,3.71049,92.38594
5136700,2716,Andalucia,-5.771522,37.368711,128,0.94084,9.46232
5136800,2716,Andalucia,-5.726399,37.36976,82,2.0101,202.61987
5136900,2716,Andalucia,-5.681274,37.370792,63,0.15469,270
5137000,2716,Andalucia,-5.636146,37.371808,59,1.00833,147.52881
5137100,2716,Andalucia,-5.591016,37.372806,69,1.76314,344.74487
5137200,2716,Andalucia,-5.545884,37.373786,87,1.97109,258.69006
5137300,2716,Andalucia,-5.500749,37.37475,99,1.97109,334.44003
5137400,2716,Andalucia,-5.455613,37.375696,95,3.99894,100.00798
5137500,2716,Andalucia,-5.410474,37.376625,93,1.54649,36.8699
5137600,2716,Andalucia,-5.365334,37.377537,97,0.79624,209.0546
5137700,2716,Andalucia,-5.320191,37.378432,117,1.38329,296.56506
5137800,2716,Andalucia,-5.275046,37.37931,140,2.60731,348.02386
5137900,2716,Andalucia,-5.2299,37.38017,145,4.28021,7.2532
5138000,2716,Andalucia,-5.184751,37.381013,170,2.76712,125.90972
5138100,2716,Andalucia,-5.139601,37.381839,145,0.10938,315
5138200,2716,Andalucia,-5.094449,37.382648,172,3.86438,357.70938
5138300,2716,Andalucia,-5.049295,37.383439,179,2.78645,56.30993
5138400,2716,Andalucia,-5.004139,37.384213,175,0.55771,326.30994
5138500,2716,Andalucia,-4.958982,37.38497,217,3.40261,182.60257
5138600,2716,Andalucia,-4.913822,37.38571,216,0.24458,18.43495
5138700,2716,Andalucia,-4.868662,37.386432,209,0.69174,333.43494
5138800,2716,Andalucia,-4.823499,37.387138,241,3.52294,105.25512
5138900,2716,Andalucia,-4.778336,37.387826,171,3.50261,221.42366
5139000,2716,Andalucia,-4.73317,37.388496,278,1.71155,251.56505
5139100,2716,Andalucia,-4.688003,37.38915,290,4.06234,81.25384
5139200,2716,Andalucia,-4.642835,37.389786,279,2.89352,304.11447
5139300,2716,Andalucia,-4.597665,37.390405,379,2.69948,66.37062
5139400,2716,Andalucia,-4.552494,37.391007,428,4.9401,178.21008
5139500,2716,Andalucia,-4.507322,37.391592,482,1.22272,304.69516
5139600,2716,Andalucia,-4.462148,37.392159,674,9.7761,35.43332
